tag1,tag2,tag bị bỏ,,,,,
bảo mật,"phòng thủ,tấn công, cross-site scripting, mã độc, giả mạo, an ninh, cảnh báo,hsm,host security module, mã hóa , pin , mật mã, hàm băm, bảng băm, des, rsa, knapsack, hệ mã, gian lận, phòng chống, hacker, maleware, rò rỉ thông tin, owasp, chứng thực, harmful code, malicious code, anti-virus, pki, public key infrastructure, aes, khóa riêng tư, private key, pri, virus, malicious software",trợ lí ảo,,,,,
học máy,"học cộng tác, machine learning, learning machine, ml, huấn luyện, train, markov, dự đoán, thuật toán gom cụm, thuật toán,  dmeritt, dmerit, dncy_set, vme, merit, svd, singular value decomposition, maple, dự báo, arima, chuẩn đoán, chẩn đoán, giải một số bài tập, giải bài tập, gom cụm, thuật toán phân cụm k-means , k-means, phân cụm, lập luận, suy diễn, logic mờ, didfail, call graph, cfg, hmd, hệ miễn dịch nhân tạo, canny, c-means, giải bài toán, giải toán, knowledge base extended computational object, kbeco,svr, support vector regression, rf, random forest, google colab",northbound,,,,,
phân loại,"phân đa lớp,phân lớp, classification, support vector machine, svm, naive bayes, fsvm, fuzzy svm, phân đa lớp, hah, ddag, half against half, ddag, dicision directed acylic graph, multiple instance learning, mil, mi-svm, mi-svm, spatial-mi-svm, top-mi-svm, top-spatial-mi-svm, weka, waikato environment for knowledge analysis,thuật toán adaboost, adaboost, maximum entropy",zabbix,,,,,
mạng neural,"neural network, geneticcnn, deepcnn, shallowcnn, cnn,  mạng nơ-ron,  mạng nơ ron, deep convolutional neural network, dcnn, artificial neural network,ann, convolutional neural networks, convolutional neural network, mạng neuron, deep feedforward network, dfn, plr , piecewise linear representation, tbsm, trend based segmentation method, ann, artifact neural network, lstm, long short-term memory, r-cnn",gps,,,,,
di động,"thiết bị thông minh, thiết bị di động, máy tính bảng, smart-devices, smart devices, smart device,mobile, android, ios, smartphone, smart phone,mạng di động, mạng viễn thông, gói cước, thuê bao, xamarin, swift, iphone, symbian, windows phone, sabian, sms, gsm, global system for mobile communications, đtdđ, dtdd, j2me, mcrm, mobile – customer relationship management, mobile customer relationship management ,tổng đài điện thoại , ip call center, giao thức ứng dụng ko dây, wap,vsim, sim, manet, mobile ad-hoc network)",lora -> iot,,,,,
xử lý ảnh,"xử lý hình ảnh, xử lí hình ảnh, xử lý trong ảnh, xử lí trong ảnh, xử lý ảnh số, phục hồi ảnh ,  định dạng ảnh, tách cảnh nền,top form hat, thf, độ phân giải , khung hình, khung ảnh, sketch based image retrieval , sbir, sketch retrieval via local dense stroke feature, srds, sketch, spm,deformable part model, dpm,truy vấn ảnh, emgucv, hình ảnh, ảnh số, video số, opensurf, surf , nén và truyền video,cbir , content-base image retrieval, tìm kiếm ảnh,video, ảnh, mobilenet, mobile net, resnet, bitmap,  cigenface, lda, ebgm, oss, viola-jones, xử lý ảnh/video, chất lượng ảnh/video, jpeg2000, bộ nén ảnh,  nén ảnh, chromakey, chroma key",arm -> lt nhúng,,,,,
khuyến nghị,"hệ thống khuyến nghị, hệ khuyến nghị, cold-start, cold start, coldstart, recommender systems , rs , collaborative filtering , content-base , last action , user profile, gợi ý",kit -> nhúng,,,,,
học sâu,deep learning,dmx -> nhúng,,,,,
tự hành,tự động di chuyển,ocv -> nhúng,,,,,
mạng bluetooth,"bluetooth mesh, bluetooth",tách cảnh nền ->xử lý ảnh,,,,,pr
nhận diện,"nhận dạng văn bản, nhận diện văn bản,nhận dạng tiếng nói,nhận diễn, nhận dạng, phát hiện, phân vùng, thị giác máy tính,  ssd, ssd-mobilen, multimedia event detection,med, violent scenes detection, vsd, lbph, haar-like, lda,cmu sphinx, mfcc , lpc , crossmodal , msdn , multi-scale detection netwwork, activity recognition, recognition, histograms of oriented gradients, hog, optical mask recognition, omr, optical character recognition, ocr, hand-writing recognition, online hand-writing recognition",scma -> mạng 5g,,,,,
iot,"thiết bị thông minh, nhà thông minh, gương thông minh, internet of things, lora,  smarthome, smart home, smart traffic, giao thông thông minh, khóa thông minh, màn hình nước thông minh, phòng học thông minh, smart classroom, nhà kính thông minh, trang trại thông minh, mqtt, smartgarden, smart garden, vườn thông minh, vườn thực vật thông minh, khóa thông minh, cửa thông minh, nông nghiệp thông minh, nhà kính thông minh, vườn rau thủy canh thông minh, cloudmqtt, mqtt, broker",mimo -> fpga,,,,,
kit,"jetson tx2, jetson tx1, stm32f4, esp8266, zedboard zynq-7000, zynq-7000",,,,,,
lập trình nhúng,"kĩ thuật máy tính, kỹ thuật máy tính , công nghệ cảm ứng, màn hình cảm ứng, cảm ứng điện tử , cảm ứng điện trở, màn hình cảm biến , ứng dụng nhúng,  bảng đèn led, hệ thống nhúng,cảm biến, ngoại cảnh, bộ xử lí, bộ xử lý, vi xử lí, vi xử lý, vi mạch, risc-v, bộ điều khiển, eink, dmx, led, kit, ocv, arduino, opengles, opengl, kinect, vđk, stm32f407vg, board stm32fs discovery, stm32f4 discovery, uart, pwm, arm cortex-m4, adc, double base number system, dbns , tiq , 6 bit, 6-bit, sg8v1, dsp, 32-bit, dma , direct memory access, workligjt, near filed communication, nfc, thiết kế vi mạch, ip interrupt controller, bảng quảng báo, sd, kit altera de2, verilog, kit beaglebone black, accelerometers, máy đo gia tốc, stm32 f4, arm cortex-1m4, sim900a, neo-6m, neo 6m, stm32f103rct6, sim900a, board, arm, chỉ số điện, điện năng, điện áp, dòng điện, công tơ điện, điện một pha, điện nhiều pha, điện 2 pha, sopc, kit de2, vga, arm cortex-a8, kit friendly arm tiny210, mosfet, cổng logic, bộ khuếch đại, cmos, transistor, IC, chíp, chip, pll, phase locked loop, drc/lvs, ped, phase frequency detector, vco, ac, dc, công nghệ nano, diode, vi mạch gate driver,fpu, 32-bit, bit, zigbee, mrf24j40ma, vi điều khiển atmega8, module wifi ,esp8266, board intel galileo, intel galileo gen, nhúng, qr/bar code, quadcopter, board arduino uno, xbee, pid, fuzzy logic, verilog hdl, dual-core, drone, ac-led, driver, mips, broadcom bcm2835, cortex-a53, mu-mimo 4x4, specific purpose processor, spp,mimo4x4, xiilinx , mimo, siso, bit error rate, ber , board điều khiển, ngoai vi, mips32,mips, switch mosfet, gate driver, tsmc, drc/lvs, bo mạch chủ, mainboard,  atera, vivado, xilinx, tripod, board, tag, soc, quang báo , bảng thông tin điện tử, systemc, điều khiển các thiết bị, mạng lưới điện, ardrone, drone, máy bay không người lái, kit beagleboard-xm, arm cortex, phòng cháy, báo cháy, chữa cháy, vi điều khiển at89c52, max232, com-232, bộ encoder, encoder, sim300cz, pic 16f877,pic, motor, on/off, sim 900 , điều khiển thiết bị, arm9, rs232, thu phát sóng , sim548,  arm 7 , renesas starter kit, rsk , h8sx1664, lcd, board arm9, xử lý tín hiệu gps, xử lí tín hiệu gps, tín hiệu gps , sensors, arm s3c2440 ,gpio, pwm, điều khiển input/output, board s3c6410, board , mạch điều khiển , board mạch điều khiển,arm , firmware, arm cortex m3, avr,vi điều khiển atmega128,  mp3, mp4, mp5, bộ xử lý atmega 32, nhúng, điều khiển, thiết bị điện tử,  h8sx1582, ii8sx, h8, kit altera de2, quartus, thanh ghi, register, ic, đồng hồ, pcb, kit arm, kit arm7, rs232, i2c,visdrone2018, visdrone",,,,,,
blockchain,"tiền ảo, bitcoin, smart contract",,PCA nên là nhận diện ?? ,,,,
mạng 5g,"scma, 3g",,,,,,
fpga,"mimo, avalon bus","Renesas Starter Kit, rsk , h8sx1664, lcd",,,,,
gan,mạng sinh đối kháng,,,,,,
ids,hệ thống phát hiện xâm nhập,,,,,,
sdn,mạng khả lập trình,,,,,,
nlp,"tách chữ, tách từ,data mining , khai phá dữ liệu, kdd, cụm từ tiếng việt, từ tiếng việt, ngữ nghĩa, ngôn ngữ tự nhiên, apriori, web mining, natural language processing, nature language processing, khai thác luật, khai thác tập, dci plus, bittable , dbv. gsp, computational linguistics, ngôn ngữ học tính toán, phân tích cú pháp, syntactic analysis or parsing, dich máy , machine translation, liên kết từ, phân tích dữ liệu, phân tích từ, meta data, siêu dữ liệu, big data ,metadata, bigdata, xử lí tiếng việt, xử lý tiếng việt, xử lí văn bản, xử lý văn bản, sumo, suggested upper merged ontology, phân tích cảm xúc",,,,,,
e-commerce,"mua bán qua mạng, tmđt, tmdt, crm, b2c , c2c , consumer-to-consumer, busines-to-business, odoo, erp, khách hàng, kinh doanh, kdtm, cmis, alfreshco, hệ thống bán, qr, groupon, cia , customer insights analysis ,cif , customer insights framework, customer, đặt hàng online, bán hàng trực tuyến, gian hàng online, gian hàng, giao hàng, giao vận, sàn giao dịch, mua bán,mua sắm, mua hàng, shopee, tiki, lazada, sendo, fado, loship, marketing, e-marketing, odoo, sản phẩm trực tuyến, rao vặt",,,,,,
web,"web from sematic, web ngữ nghĩa, website, reactjs, nextjs, geonode, silverlight, rest, front-end, front end, back-end, backend, hệ thống quản lý tài liệu mạng, liferay portal, liferay, ứng dụng hỗ trợ quản lý luồng công việc, rdf,  resource description framework, world wide web, web site, lucence, search engine, html5, web3d, webgl, wmi, windows management instrumentation, www",,,,,,
ai,"ontology, đại số gia tử, đsgt, dsgt, khoa học máy tính, biễu diễn tri thức, cơ sở tri thức , cokb, tri thức, chatbot, khmt, hình học, giải tích, trí tuệ nhân tạo, ontology matching, đại số tuyến tính, cokb-ont, cokbont, ecokb, enlarge computation objects knowledge base",Ontology là một hình thức biểu diễn tri thức,,,,,
vr,"virtual reality, cardboard",,,,,,
ar,"augmented reality, kudan, vuforia",,,,,,
game,"unity, xna, game engine, cocos2d, gamepad, andengine",,,,,,
rfid,"xử lý tín hiệu số,nhận dạng tần số vô tuyến, radio frequency identification, reader mifare, radio frequency, tần số vô tuyến, rf, hf-rfid, merc522 ",,,,,,
robot,"ms robotics developer studio, mrds, nxt mindstorm, lego mindstorm nxt ,robotics, robocon, lego mindstorm",,,,,,
tự động hóa,"tự định hướng, automatic",,,,,,
cloud,"điện toán đám mây, cloud computing , cloud computing/mapreduce, công nghệ đám mây, đám mây",,,,,,
mạng wifi,"không dây, mạng cảm biến không dây, wireless sensor network, wsn ,wireless fidelity",,,,,,
,,,,,,,
